,BT20,BT549,CAL120,CAL148,CAL51,DU4475,HCC1143,HCC1187,HCC1395,HCC1500,HCC1599,HCC1806,HCC1937,HCC2157,HCC38,HDQP1,HS578T,MDAMB157,MDAMB231,MDAMB436,MDAMB468
KRT17,2.5791528,0.6467773,0.6138426,0.9444562,0.7417020,0.3312583,7.5123913,6.1115385,2.0882474,1.1607156,5.6772723,5.1090364,7.8819095,0.1868752,1.2659098,9.2022244,8.7904886,0.2015863,1.1727267,1.7678068,8.5641850
KLK6,6.63044000,0.14495898,0.47769170,0.08283380,0.31230441,5.10630926,7.18531873,5.99754044,0.63488133,0.39422458,1.50966714,1.26869669,9.50035345,3.47511209,5.10552044,7.44680869,0.03077621,0.04526756,0.07337567,0.14230328,8.11893426
KRT7,9.4722999,6.1100491,2.1806594,4.0301428,0.5638415,1.2404802,8.1568134,8.0126365,4.1257825,4.9934040,8.4906488,8.1056095,9.2141356,7.8382265,9.5278335,9.8205607,2.0409346,0.9382931,7.8015768,2.3919261,8.6674317
COL1A2, 0.69440194, 8.03675282, 5.16994304, 0.29307708, 2.28500620, 0.12330726, 0.09465751, 1.22569192, 7.53807156, 0.27987800, 0.25466005, 0.25312238, 2.08011861, 1.94973367, 2.82961407, 5.87452928,11.73001025, 0.53998782, 1.50618619, 0.10067117, 0.35898256
VIM-AS1,1.3884545,8.1849045,8.3152809,0.8673959,4.3044353,0.5066349,7.1005015,3.8259591,7.4238138,0.4998489,3.9221012,0.5577540,1.1138911,6.9788912,5.3814305,4.3830552,9.6222628,9.1221950,8.4028350,7.2747053,2.4603770
COL3A1, 0.20982292, 6.41012070, 5.20441891, 0.05766585, 4.04576216, 0.04202211, 0.17694470, 2.72392597, 0.58023760, 0.56665723, 0.10964034, 0.17975569, 0.82162258, 0.82760297, 0.81643747, 0.76978282,10.59666750, 9.33729360, 0.15732243, 0.23415648, 0.85576211
CTGF, 0.2667156, 8.1243301, 6.3405332, 0.1454693, 5.9231424, 0.3522227, 6.4550075, 4.7677995, 5.0663167, 0.2269712, 4.0238180, 1.8545975, 1.7186184, 0.9078492, 9.5031684, 3.6119968,10.7159317, 3.0870322, 7.0748630, 2.3894404, 5.7656487
ANPEP,0.08965146,8.29337987,4.09856787,0.16754423,0.20215864,0.11367077,0.10248982,2.43769252,0.87207716,0.08469521,0.11555341,0.66235029,6.46673157,0.19140281,7.76748517,8.01298285,4.52318241,2.29298807,0.06861343,7.30668406,5.17793561
AKR1B1,10.0717564, 6.3546445, 6.1679554, 0.7407440, 5.6634655, 0.3224022, 0.6795155, 4.5205643, 9.1962138, 0.5686609, 3.7456956, 5.0203910, 7.6292099, 0.3596847, 6.8174490, 7.1628993, 6.1536522, 6.5182132, 6.6004148, 9.6866728, 7.2534413
KRT16,4.31430885,0.21894512,0.57506254,0.15871840,0.07209903,0.02516338,5.07716957,3.46492958,5.16792296,0.49284842,9.04121346,3.84678302,8.82826551,7.20651406,5.59850021,4.13553082,4.75024042,0.07926568,0.07009023,0.66400092,6.98254479
PI3,2.15617908,1.02103655,0.25043729,0.23521742,0.45192393,0.04485058,5.37300584,1.81447226,1.25006026,0.36637678,1.43993967,1.82226623,9.90647714,0.15710393,1.79360341,4.33133576,0.08280077,5.14441864,0.23717392,9.91567828,5.68198845
IGFBP7,0.3196188,6.1298790,3.0777943,0.1532045,7.2904479,4.8215084,7.1584719,1.0582774,2.4045933,0.4135446,0.5778774,6.5578836,1.2402201,0.8533761,5.6208699,3.9073324,9.3503853,7.3471423,8.1537757,3.2377242,0.8113013
FN1, 7.158379, 5.254507, 5.555699, 1.324368, 8.580689, 1.639117, 5.839824, 2.505173, 9.343573, 2.507935, 1.378454, 2.667481, 2.903706, 2.509665, 8.080947, 3.705034,12.096497, 8.032751, 6.567826, 7.185515, 3.828421
ST14,6.25364309,0.14901587,0.29582793,6.91035178,2.29850236,8.52966861,5.56217265,6.81990951,0.34108330,4.62441106,5.88318536,6.37711453,7.58647126,6.10719329,5.06573676,5.74313804,0.11352001,0.07155534,0.85124054,0.17494124,6.64886794
LCN2,6.9802005,0.6151038,0.2073149,0.5043701,0.1773594,0.1150248,6.5295775,2.2403700,1.6623896,0.6878565,3.0141721,5.0633411,9.2551838,5.6300414,2.0122335,7.8362674,0.1200388,0.1072204,0.3010680,3.5032184,6.2707507
VGLL1,7.876722082,0.071524024,0.263076706,0.086199298,0.009901769,0.042025092,0.254670865,5.267034246,0.086701147,0.017249295,1.451434440,4.433328193,7.226008612,5.706494859,0.245814055,5.976825599,0.023736334,0.016749855,0.000000000,0.034453647,7.098258791
UCHL1,0.4147508,6.8269756,8.4001820,3.9600914,1.7312037,0.5017921,2.6061352,8.0138065,8.0487395,0.4544725,3.4039182,7.1913894,5.2332983,3.7951772,7.2003184,6.9994336,0.3530173,4.5649224,1.2239276,8.6219326,2.2915726
RAB25,6.02878156,0.14822146,0.35906161,6.83564663,0.39415810,6.20865544,4.43199830,5.95138042,0.22593520,5.80202907,6.58686555,5.43856396,6.20203068,7.15679305,5.26177701,6.31108806,0.07100864,0.09660494,0.02618033,0.03922803,6.49531647
MYL9,7.0037838,6.9929287,6.2759241,0.1420607,4.8485559,0.1056487,5.2192523,0.5422556,5.7917575,3.7330909,0.2014971,4.8700489,1.5393789,1.1804404,8.3256324,5.6826539,9.8583452,8.3858026,6.3830507,4.8928655,3.1145615
TIMP3,0.2112977,2.5146924,5.9675895,0.3461151,0.5963166,0.1567687,0.3440432,0.3730211,6.1482579,4.4630996,0.3485810,5.4957742,7.4392947,0.8626826,6.6127791,5.8178546,8.3728624,0.9533221,6.9170307,0.9519946,4.3355541
SLPI,6.92287118,0.80296480,0.84866491,4.73962251,2.82938935,0.49844596,6.84481244,5.37270966,4.53206944,4.29488125,8.32741422,6.41230314,9.80265056,6.67193059,5.78224430,8.50695775,0.08023318,3.89032199,0.58655561,6.84193370,7.58614697
IGFBP3,0.2502415,6.3131324,6.6512888,1.2808817,8.2686702,1.0717158,8.8147217,7.1605862,7.4006692,2.3487025,1.8048148,8.2432790,8.5367051,2.2508428,7.5001730,8.5339490,9.1129108,6.2268123,4.0846757,6.2345937,7.1604737
ALDH1A3,7.4522823,4.3088737,2.7670069,0.2337224,0.2301966,8.7462373,7.7809365,6.9273142,5.5245483,0.2946652,6.9657707,5.8556367,7.3565104,7.0379145,8.4388219,8.1185098,2.7362043,2.0081366,2.1593340,6.8643797,7.1552696
SERPINE1, 2.1572752, 5.0817588, 6.2055048, 0.3908373, 0.4673786, 2.5481965, 4.6310525, 0.9845191, 1.4216437, 0.3483342, 0.3501004, 2.6385873, 2.5069610, 1.3224330, 2.6563616, 3.6430263,10.8522680, 3.0869814, 7.5835913, 8.7593846, 2.1460114
CAV1,3.8318065,8.7113407,8.8240934,0.4602965,4.8470383,0.2622006,6.6956094,3.0983716,8.2006167,0.5409934,0.8481393,7.3838221,7.0573993,3.6164013,5.1291174,8.2135703,8.0443601,6.1402288,8.2264561,5.8436162,6.0702623
CRABP2,6.324140,2.902934,3.025272,9.047284,2.936808,5.600504,6.879147,9.324979,3.167189,9.161622,8.800963,3.677683,9.508907,7.685755,6.688391,6.455351,1.107171,1.899963,2.488347,3.003091,9.576407
BST2,7.6705380,3.3041671,7.4864148,0.4108472,3.2790126,6.7319205,4.4194392,7.5120332,3.5623666,8.4991599,0.3635618,5.3413880,8.9859066,0.8066601,1.3209158,8.2705814,0.6184124,6.6146665,6.7729468,5.4498407,5.1988423
AXL,0.12920831,5.68768238,7.22131629,0.14425523,2.19960810,0.09417226,6.32726591,0.36812232,5.24659448,0.30297326,0.15657760,0.56312893,4.94565619,0.24608063,4.92889025,4.76522599,7.89392482,4.22567199,8.08299165,3.69399871,0.85847764
GSTP1,0.8849357,7.6154152,7.3388378,6.3276998,9.4689925,8.0552510,7.2727331,8.5006925,8.9635877,1.1512916,0.9712522,8.7090747,0.7479575,8.5808180,8.1488181,8.5464002,7.1462724,7.6802772,7.3298032,7.5032559,5.5617033
TGFBI, 3.1803774, 8.8512595, 3.4183792, 0.9351227, 1.4951512, 5.5207233, 8.3256362, 6.4020227, 9.8179828, 0.7827426, 2.5493622, 6.3456552, 5.1336864, 1.2205310, 6.1148796, 5.8297194,10.3196166, 8.4495385, 5.5835366, 5.1932047, 4.3178746
CRYAB,2.12018273,0.20758876,0.46523305,0.08090706,0.12206740,0.01630842,3.41709522,7.69405771,0.82539584,0.09679014,7.92992179,1.78960996,2.94644148,8.30911174,6.40181765,0.33476733,4.49874222,3.55634759,0.00000000,0.03314307,4.17901095
CTB-147C22.8,5.60717474,0.07648764,0.27187516,0.01093795,0.04711920,3.65953312,5.60348848,5.45647700,0.24853383,0.17073258,1.52894164,3.55195768,8.40862517,2.75016588,5.78730119,5.94102109,0.01276238,0.04004685,0.04579536,0.02774613,7.03927753
UCA1,5.75216491,0.04436518,2.05418398,0.18863159,0.66982975,0.07246589,5.74266100,0.16745578,0.16342000,0.32649443,0.35444159,5.92332522,8.56607402,0.35379127,1.00218622,7.83083171,0.09317645,0.04994270,3.38775283,0.06846529,4.39678820
EPCAM,6.6499257,0.3596984,2.0410927,7.2105221,7.5724588,7.3023024,7.1551939,4.8386114,0.8769839,6.6330867,8.0412053,6.7580323,7.1246835,6.5550137,7.6170905,6.9610271,0.1961395,1.1546127,3.4704100,1.0432449,7.4003195
FXYD3,4.02071575,0.14152241,0.10446844,3.69750446,0.10636000,0.37179804,3.96895378,0.16740513,0.31067319,6.35901062,5.54490537,7.21651231,7.72232111,5.62083015,2.82855452,5.16238334,0.03749035,0.17202853,0.06000774,0.09804280,6.56449864
DKK4, 0.00000000, 0.00000000, 0.04735421, 0.04635836, 0.00000000,13.16573232, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.10485407, 0.09686720, 0.01330527, 0.01332873, 0.00000000, 0.02712753, 0.00000000, 0.02875179, 0.00000000, 0.00000000, 0.00000000
AARD,0.7000114,3.5356529,0.7801677,0.2735576,0.0000000,0.0000000,4.6131055,0.9520137,4.7174657,6.7628765,8.8862095,0.1220161,3.4094993,8.6414961,5.9741279,1.3943398,0.3350581,2.3323622,0.2895634,0.8595922,3.0453247
SPINT2,8.7545345,1.9732214,7.1564050,8.8900947,6.1057164,7.2327795,7.6805771,7.2197769,4.6437188,8.7494067,8.4077362,8.0287950,8.8679412,6.6839933,7.7648381,8.0966622,0.6473917,0.9202265,7.3529830,0.5893680,8.4677828
BGN,0.07010106,1.23695460,0.14456298,0.02552746,5.27284432,5.75375814,2.05849841,6.43091776,8.84317215,0.15978466,1.05067719,1.95538182,0.36024447,0.27870954,4.61270059,0.76735989,7.67943360,2.73229694,0.08820236,5.22868396,0.27881939
LDHB,1.297938,8.448026,9.562157,1.297203,9.207850,1.154658,7.086629,9.172139,6.961627,1.499748,8.588351,7.717872,8.585445,8.306332,7.133808,7.784497,6.950548,7.219264,8.197496,9.234137,5.466356
S100A14,5.7269874,0.3046424,1.3546501,4.9332726,1.3002382,0.6249557,6.1327969,3.7694755,0.7349957,0.8697426,1.2935678,5.7060683,7.8543351,0.6819426,4.6530604,6.5392936,0.1111294,0.2850181,0.5138930,0.3854169,8.3954443
BASP1,0.1930145,7.7419947,5.9932582,1.0716074,0.1755110,0.1956118,6.8472597,4.1349234,4.6694538,0.2523849,0.6783678,0.7501399,3.5841930,0.1841609,4.0580758,5.1393382,5.9161986,6.6068757,5.8367102,7.2107682,0.5511237
FSTL1,3.3656679,8.4639799,7.7293312,0.5172947,6.0580709,0.1705391,3.2484191,5.1192228,4.9921193,0.2558425,1.5406264,5.5681649,5.5418049,1.5198243,6.7134010,5.8033874,9.3373478,6.6711288,5.6869026,6.5813123,0.8433782
RP5-977B1.11,6.50515990,6.46448966,5.58336872,0.11340012,4.31412129,0.07181091,4.51662604,0.33821826,5.22633575,3.11188936,0.15071837,4.44428483,1.29966492,0.96566303,7.80607648,5.17119726,9.34104192,7.90473310,5.91417497,4.45828369,2.64587685
CLDN7,6.42354695,0.49267935,0.89170746,6.62687549,2.17466027,4.70791874,6.93663336,4.12681143,0.49623763,5.95667278,5.41510913,6.52062815,7.03341813,7.16766422,5.75654767,7.28577725,0.05192902,0.36764973,3.08268937,0.21436159,6.93625143
Z98256.1,0.15777421,2.34068574,5.75641421,0.27868875,0.55070020,0.09287678,0.22515543,0.49883171,5.66386067,3.93082656,0.40920611,5.21014916,6.95063305,0.71901002,6.12631408,5.18029542,7.89265343,0.82067292,6.33709470,0.74815194,3.79913159
COL6A1,2.0096279,5.1941358,1.4289937,0.6216213,5.4463530,3.7297790,8.0107512,0.4637192,7.2628625,0.3340462,2.3658334,4.9092782,5.1646180,3.6820292,5.6038620,6.4202971,9.3475562,7.5098447,5.0479902,7.3142350,0.6735072
EFEMP1,0.2759220,6.1880514,5.3251525,0.2653642,0.2388684,3.5385065,6.7260503,0.6675802,2.5579789,2.2441350,0.8483442,6.5212283,4.4263436,0.3505820,9.0672812,6.8048992,6.2346059,5.8010127,5.2654353,1.2890609,3.4962100
POSTN, 0.075050934, 2.835661955, 5.760264019, 0.009603179, 0.118309503, 0.026218737, 0.015625814, 0.727651072, 1.358625649, 0.021856511, 0.008870008, 0.103894691, 0.836129111, 0.799987372, 1.054434987, 0.835257641,11.003382542, 5.615402775, 0.159611968, 0.140444283, 0.369663835
S100A6, 6.704360, 8.812089,10.087523, 5.685917, 7.784128, 4.568129, 8.358400, 2.676776, 9.777122, 3.962504, 1.655381, 8.802237,10.098573, 7.416207, 8.450355,10.381949, 9.089796, 9.841539,11.950290, 9.851285, 9.984783
RP3-416H24.1,8.0097012,4.7457820,2.0666961,2.8512700,0.3082552,0.9126182,6.8940691,6.6067712,3.9711653,3.6652982,7.2351307,6.7749141,7.7248568,6.4677039,8.0258225,8.3986937,1.8787816,0.8024437,6.3370424,2.2795666,7.3197237
COL6A2,3.0747936,4.6963305,0.6161746,2.9498358,4.8684493,0.0575222,6.4748409,0.3960048,7.4275906,0.2463688,2.8896155,5.0896535,4.4389584,2.0812902,4.3943753,6.5883422,9.2700101,7.2342561,3.8659737,7.4453411,0.6167850
SFRP1, 3.07309373, 3.90258507,11.53706219, 1.18486551, 1.54530488, 0.03547657, 4.93953043, 3.67863957, 2.31342067, 0.05784860, 5.95360279, 1.36695694, 5.32111927, 5.96052893, 3.01776748, 2.55842795, 0.34334284, 4.65478012, 0.56248377, 1.68689213, 5.66089826
ACTA2,0.08488958,5.66667932,0.29611772,0.38527357,2.66011899,0.64059182,0.65075398,2.66706692,7.04569818,0.34883275,1.60062528,1.63280066,0.99097953,0.43772442,6.10194699,1.35902919,9.18608038,6.71788588,0.85181856,1.86236257,0.45938409
S100A16,7.1761252,0.4564906,6.4328803,6.6223766,5.6487823,6.2429179,5.5804718,5.5996564,1.2344693,0.5756516,2.3375722,6.2019245,7.5542861,0.2920689,6.5833989,6.9056816,5.4584944,0.4263490,7.1043250,6.6630057,8.3766004
COL1A1, 2.3787964, 7.3388658, 2.1828238, 0.5681790, 2.1433455, 0.3063003, 3.8408109, 2.1764813, 6.0053927, 2.4486336, 2.7691021, 2.7067252, 2.6848529, 2.3200598, 6.5780692, 3.8032290,11.9321060, 6.3686172, 1.2828105, 2.0214998, 2.0318889
CLDN4,4.9005758,0.3943123,1.5204529,7.3730515,1.0697372,0.8337237,5.6912326,7.1211006,0.9048062,5.4372060,6.7547481,4.9084133,5.8257084,6.6359770,7.3454503,6.1388961,0.2605229,0.5135414,4.8507067,0.7231328,5.1599462
KRT23,0.66548887,0.10068231,0.24309693,0.13000107,0.06627732,0.36647510,2.22960562,2.56718217,0.13470931,0.90749722,7.44426751,0.41571537,5.00349132,7.22970997,6.08827939,0.57395047,0.04907372,0.01904097,0.03793125,0.09591325,6.66163057
WFDC2,0.287991822,0.085963775,0.080741052,0.391307220,0.096415816,3.694235870,1.575571618,5.765621990,0.205991136,0.424388364,0.176377537,4.491034808,5.112689571,7.628803168,7.179890872,6.489728426,0.008868069,1.114638333,0.922363454,0.138894117,0.635135046
KRT4,6.555198785,0.007292381,0.059993948,0.028332356,0.656986419,0.055057387,0.080994156,0.229077549,0.114153485,0.070894204,0.177360054,7.950518165,7.450831419,0.023050695,0.127771136,1.800523445,0.249202844,0.227928803,0.039862848,0.020709391,5.284301251
CST6,6.67762481,0.10754645,4.88750363,0.08092343,0.05928333,1.34272476,1.35323515,1.79613242,0.09742750,0.13446076,0.27164828,1.94536614,7.30075375,0.14968149,6.59673016,5.72007649,0.04779022,0.05041690,5.12197120,0.01759065,5.00349467
C3,4.00589331,2.44314667,2.14699129,0.12845635,1.44108238,0.07408542,8.17260162,1.34414390,1.81357415,0.56338154,1.10715393,6.00945918,6.72178354,7.12408486,1.31030497,6.75983994,0.32618279,2.37436056,0.74289455,6.65006150,4.35296411
CTB-113P19.1,0.09926642,3.63855413,5.42454063,0.06115965,2.81563034,0.03554915,0.07009916,0.30153761,1.99513726,0.05976864,0.07212822,0.02890991,1.59937749,5.79671586,2.41796902,2.41503290,8.17070628,8.26196290,0.07924762,0.26781746,0.25804057
ALPP,6.770579616,0.028246500,1.694095345,0.052204658,0.050636101,2.930370094,2.514292917,0.122856652,0.137437409,0.026752150,0.058784295,2.774502863,7.385353065,0.004023699,0.461920998,7.245090161,0.107606056,0.164967339,1.137952204,0.061950043,6.261950852
RP11-510N19.5,7.2759278,1.3110894,1.7167481,7.2813992,4.5302844,0.5655460,5.9569824,7.1362688,0.7642003,4.6203687,7.3403435,6.3176997,6.9748898,6.3832360,5.3839512,5.9167053,0.1646155,1.0085602,2.0975957,2.5917189,7.1451879
EEF1A2,8.7419598,2.2757501,3.9644621,2.8530412,2.5121426,0.5505392,3.4420943,0.8990785,5.2031393,7.3781120,0.7136422,6.1581118,7.1861416,8.1998513,7.0154974,1.6447381,1.6908803,5.2935920,3.5486227,6.2133520,0.9604316
LOXL2,4.1787957,8.5498196,5.5792658,0.5460112,5.3141905,0.4882600,4.0904875,5.2245533,6.4906265,0.2615673,0.5408258,0.8816676,3.8564105,1.5204276,3.1554032,3.5713834,9.6342485,5.4881878,6.7799083,5.1132325,4.2792398
MMP7,0.05965936,0.28743102,0.16831294,0.15933768,3.43694265,0.10148628,6.18252954,2.86714703,2.85047683,0.22002992,8.18777824,0.54327448,0.16066667,0.07262767,8.30489912,0.61868425,0.13549097,0.50171412,0.05193932,3.18760519,2.92215227
TNC,2.33760298,4.17508762,1.71427298,0.17982175,0.16629043,0.09087695,6.15814862,8.59046678,7.29910403,1.91519401,0.92300620,0.16543110,1.21627435,2.23776029,7.62665540,1.75127221,3.89424104,5.18329811,2.85581490,6.11003958,3.10709437
SDC2,0.12619284,3.15390861,0.95107933,0.10535130,5.78894898,0.03441648,5.83000748,4.05830360,4.73271719,4.97898760,4.51519957,0.21490079,0.13590532,0.08968638,6.36461387,2.30469473,7.49277713,7.62211428,2.56403840,3.23929041,0.15385513
LCP1,6.8559109,0.4036414,2.9719233,0.8336356,0.2889837,0.2279352,0.9737541,1.1067851,7.4405140,1.7543584,1.0362495,5.7979386,5.7877265,0.3686238,7.2275434,5.6040655,4.0600322,0.7599735,0.4433312,0.7516284,0.9795146
ELN,0.02034802,0.37309229,0.02677765,0.25214614,0.01593751,3.71819546,0.01193064,8.97417290,0.21944621,0.03046400,0.10150514,0.01863003,0.34735904,0.23958112,8.46620532,0.29554207,0.18341379,0.32902368,0.03080560,0.04974871,0.12781356
COL5A2,0.2045477,6.9442946,5.3616539,0.5102664,5.6751616,0.4046895,0.9339503,0.8551436,1.1462031,0.2566662,0.5386332,5.2961917,1.1586642,0.3554867,2.2440445,4.5896341,7.9069227,5.8475253,0.2272733,1.7262528,5.3910398
FBLN2,0.04127191,7.29009579,5.26520898,0.70772026,2.77406203,0.43564636,6.49623013,1.47345178,1.26412141,0.04556528,0.03263224,3.18844864,4.88461240,0.12599244,0.80853930,3.21772434,0.36911306,6.16936538,0.06515202,7.16773633,0.84378954
LAMB3,5.3119590,0.3575374,3.6446557,0.5406154,1.4922792,0.1464944,7.4431198,0.5486680,5.7854968,0.6501598,3.1059630,7.8896147,6.5079435,0.2307679,5.6009055,5.6104201,3.3662276,1.6159706,6.6247231,3.4411156,4.6439787
SPOCK2,1.11341908,0.34498129,0.51112757,0.03325892,0.41080912,6.61697234,2.25564360,4.84122773,0.51036270,0.10398621,0.42786988,2.23904744,6.80692746,2.29542165,3.11517958,9.00857754,0.07116784,0.22959603,0.13597106,0.13269650,1.99833304
PLAU,0.4509964,6.7161389,5.9592672,0.6047489,2.8340609,0.1300709,6.6502502,1.1547461,1.5500378,0.8478786,1.9760481,6.3932026,4.8231567,0.4962984,5.1841553,6.7362473,5.0042248,1.9243319,7.5972165,6.5063190,3.9154079
CDH1,7.5134094,0.4005166,3.2216386,5.7968497,3.9753904,4.5824134,6.4835678,4.8689000,0.4882667,6.9001732,5.0476450,5.1509899,6.8961047,5.5697847,5.7389176,6.4808226,0.2577768,0.2256445,0.4618436,0.1285880,4.9431780
AKR1B10,8.9696849,1.0341460,0.2348094,0.1759789,0.1016826,0.6062995,0.7259004,1.7099103,9.2590935,0.1663582,1.3480912,2.6691180,2.9742033,0.2104011,1.0152909,0.8733577,0.9326599,1.2305493,1.4088546,1.8242886,4.7411002
AGR2,0.3574583,0.2073291,0.5690239,4.4543796,7.3026186,0.5745306,1.0979904,0.9300085,0.5433953,9.0782792,0.4843485,5.9928454,2.9103252,0.1489539,0.4433485,3.0024718,0.1148594,0.1900051,2.8806243,0.1457423,3.0076067
IFITM1,6.0978216,3.2569075,3.6070273,0.4333901,5.8407332,0.1537617,6.2299347,2.2006110,6.2342178,2.0452145,0.9211818,5.8134527,7.2394207,5.5562144,1.9105867,9.1595665,0.7863509,5.7508968,4.1676040,0.7124806,5.3494235
ESRP1,4.93177324,0.04986302,0.43680239,5.25347185,0.25630599,4.94941041,5.53433447,5.54394407,0.26439979,5.07417773,5.43543577,4.83538025,6.20586110,6.21342970,5.43130541,5.14609628,0.06729149,0.12583721,0.09610117,0.19469487,5.29206278
COL5A1,4.28297853,5.67266175,0.09814701,0.06613877,0.22045356,0.28963909,3.74964401,0.19198289,5.98931368,0.05258602,0.06349273,2.87490229,2.54048199,0.14016455,4.38319261,2.90856322,7.85623050,6.42566360,5.08188583,4.90355220,0.28966008
XXbac-BPG248L24.12,1.1935960,1.2765680,1.1981073,0.1221772,0.6386580,5.0138942,3.5344981,7.5039562,7.3542293,1.2646976,1.5879411,3.9698663,7.3634512,2.3560199,2.0032216,7.9901782,3.7366370,0.9251370,4.3514186,6.5016860,1.7975472
RP11-66B24.4,6.3697396,3.2100607,2.0533979,0.1212339,0.1730971,7.6224099,6.8553449,5.8252379,4.4524084,0.1317732,6.0384925,4.7905780,6.2528171,6.0005415,7.3131225,7.0002859,1.9432342,1.5145436,1.4997382,5.7468987,6.0557193
EMP3,0.6613822,6.9755702,6.5795044,0.6742684,4.7485881,0.7472456,3.1543346,0.6663726,6.4764817,1.0085393,0.8126801,2.1024623,3.9347531,0.5178509,3.6228019,2.7839367,6.5179979,5.3711674,7.8687685,6.3299865,0.9489586
PPP1R1B,0.07250593,0.08971648,0.04418676,7.06687950,0.36655331,8.51400390,1.19501979,0.15000507,0.21551478,0.15290739,2.93264298,0.23189891,2.57787065,6.57194020,2.59326094,0.34388836,0.04860915,0.04004097,0.01980192,0.02381140,2.39183553
HLA-B, 3.825572, 4.000795, 2.754687, 2.784890, 2.576398, 6.753894, 8.097764,10.013298, 9.414275, 3.652311, 4.895532, 8.163106, 9.199758, 4.483374, 7.673626, 9.785916, 7.939758, 9.121871, 8.646822, 8.184373, 7.237990
CXCL1,0.09499597,9.38815790,1.19471501,0.29308687,2.61500891,0.21620074,6.81168964,0.30203521,0.76871453,2.76389263,0.26224241,3.89721989,1.62159795,0.09818815,4.58545486,1.92924875,0.09186849,3.45545227,1.05238123,6.38257311,2.43781657
F3,4.9522947,0.3806644,7.5625564,0.3437929,3.1573351,1.3519800,5.4838870,2.7080502,3.9733666,1.7301885,3.1968293,6.5776912,7.3787284,1.3140447,2.8498365,8.0605904,6.5143753,1.9464444,8.0606936,2.3732512,5.7370923
RP11-301J7.8,2.95822055,0.10942193,0.05660409,0.06219730,0.08958152,0.00000000,5.63016068,2.32860549,0.42376120,0.15300469,0.18345865,7.44974652,5.75261309,0.07050874,0.19407863,6.12654269,0.53184228,1.54548996,3.52313801,3.58462297,6.09990156
AC007563.5,7.14046612,0.05116361,3.54876454,0.13340749,0.00000000,0.00000000,0.38644086,1.39374610,2.79170106,7.77069071,0.41736121,0.06909367,2.36733103,0.26536003,7.02717522,0.41995230,4.04901885,0.11053148,0.00000000,0.50821970,2.71102697
SPDEF,2.72660588,0.05786081,0.18278911,7.73280019,0.18728809,0.08013173,0.19544425,0.24762979,0.28225804,7.16452336,0.50846666,0.33285935,1.75895035,5.20810796,0.11515199,0.55135113,0.13480475,0.14811820,3.84385609,0.05508141,5.75512250
AP1M2,5.90287097,1.77674546,3.84865245,6.08914349,1.47096483,5.33888365,4.79681090,6.07803904,0.32132832,6.41703623,6.02652733,4.62188911,5.96517173,7.38526247,0.32547061,6.63793954,0.07727835,0.13153097,3.59174352,2.59913727,7.55018066
MAL2,4.78376551,0.18775389,0.48345327,3.47518508,3.31855246,5.43518025,5.84642323,5.15224894,0.64994872,5.72658021,6.09742682,5.57538552,7.48882069,4.63787798,5.44970849,7.48727799,0.10108817,0.08585058,2.25586521,0.53811153,5.34060955
ANXA8L2,3.21774194,0.11703258,0.14813951,0.10005225,0.05446271,0.03363546,6.12277224,3.62944067,0.72078199,0.11315324,0.90499396,7.02975886,6.20415648,0.40303183,0.23519883,5.71644281,0.52735217,1.24484323,3.88925477,3.77822355,5.81414961
FGFBP1,0.238472674,1.287367514,6.042709249,0.202100035,0.621845523,0.009638536,5.753334593,0.480876867,0.844777442,0.184456585,5.718346720,5.997957034,5.614288488,0.093781083,3.528297904,4.491172588,0.026885701,0.145264613,0.125699818,0.417616652,5.435364420
EFHD1,0.84828787,0.69806276,0.55179318,5.67663322,3.62359866,0.07140917,2.65528242,4.91355371,2.84783739,6.99222862,5.55201293,1.83553629,0.36477605,8.50964128,5.84895927,0.53641451,1.51715256,4.76601039,2.46110107,0.81778863,5.82583679
FOSL1,3.0573936,6.0436263,6.8279559,0.3500541,1.0911669,1.3420952,5.1165591,1.0701281,7.4530812,0.4157245,0.4278718,2.8869780,4.9537001,0.8622732,4.9666359,3.0851585,6.0121344,3.6771622,7.8534766,6.8026765,4.0198779
DKK1,1.5071234,6.9723570,7.9708090,5.2042456,0.4697529,0.3983228,0.2818858,1.8409254,2.2653010,0.2750725,1.2259762,4.6216051,4.5303324,0.3024175,6.3099988,3.3902036,2.1013246,4.2213229,7.4886136,4.6768130,3.9980302
TPM2,0.1943943,8.1196691,5.7467915,1.2417859,5.9548411,1.3866390,5.4742514,0.6647104,7.7624280,1.2823459,1.8978744,4.2866084,2.5418270,6.6922239,5.9873483,4.7431104,8.5033807,4.8012636,3.0873274,4.7129412,5.2122927
KLK10,0.188085101,0.014980110,0.074511892,0.044216747,0.495843380,0.068408803,3.534936645,5.763477926,0.094693004,0.099808772,1.630222347,3.558226605,8.557054161,0.047082178,3.883683851,5.107759195,0.006538156,0.050984615,0.095851755,0.045808015,4.504497154
FABP5P7,0.4995146,6.6272586,6.4132941,0.4393777,5.9380991,6.9015953,7.4755932,5.5378047,6.0228158,0.7074460,8.2644850,6.4524602,5.6063984,8.3397795,6.6028154,2.6017158,5.2117520,5.5107596,5.2889646,6.3105570,0.9130996
EHD2,0.14244901,6.24319360,6.26513986,0.16708448,1.26221359,0.03311841,5.08540065,1.02759364,4.65508061,1.89036476,0.14153260,4.89448114,3.94028474,0.18852737,3.81990513,4.34714445,7.62909288,4.40377700,5.83724660,0.27081672,1.25775426
