,BT20,BT549,CAL120,CAL148,CAL51,DU4475,HCC1143,HCC1187,HCC1395,HCC1500,HCC1599,HCC1806,HCC1937,HCC2157,HCC38,HDQP1,HS578T,MDAMB157,MDAMB231,MDAMB436,MDAMB468
VTCN1,1.573435412,0.024886059,0.079058931,2.410552408,1.867419206,0.038885932,3.526290160,4.369330294,0.040221308,1.209438268,5.344734491,0.661970230,3.960750030,7.715840320,4.083069265,3.071666201,0.024371619,0.096207291,0.009878845,0.030997881,6.634328937
CYR61, 5.9860311, 8.6277092, 8.2306442, 3.7947769, 5.4477758, 0.5497556, 7.3289380, 3.6608927, 7.1552398, 4.2109944, 5.1896456, 2.8977395, 5.9201433, 3.8545591, 8.6953559, 5.6083207,10.7703875, 5.5570674, 8.7106154, 4.1987266, 6.8133741
H19, 4.3996746, 0.1939711, 1.1710793, 1.2372078, 1.0974672,10.0535580, 0.4244794, 0.8385196, 1.1121075, 0.5375610, 0.4217270, 6.4943572, 0.3822778, 1.6746714, 1.4773198, 0.8716508, 1.1053470, 3.1600496, 0.5801110, 1.1387896, 2.1218309
IFI27,0.5578770,0.3666921,4.3398344,0.2739271,0.4609470,1.2581832,3.5652348,6.4748912,3.1561110,0.5660355,0.3686622,4.2423528,6.9188281,0.2470572,0.5035019,6.9196930,0.4065376,3.8631282,5.0148298,0.9080329,2.1592417
IFITM3,7.1330298,6.9879698,5.5759368,0.7669229,7.0185294,1.3910851,7.7684115,7.0946597,7.8809758,3.7576317,5.2911007,6.8907144,7.7173862,7.8286457,1.4376213,9.1517934,6.9229127,8.3628980,7.0060502,7.6049012,7.4361226
MMP2,0.16484196,3.98610808,0.50515472,0.13052011,2.06268009,0.05745361,3.12826822,0.75230719,7.07407856,0.16138215,0.09225221,1.94075242,0.92217269,0.36095147,4.27943248,5.69020925,6.02143150,4.85452953,0.14339278,5.17294842,0.60332440
FBP1,0.428435829,0.103460686,0.091633295,5.358670113,0.071626730,5.649219332,0.017053782,0.641358657,0.088930351,6.135029419,0.009682667,2.951824330,6.566591794,0.014282898,2.361178642,3.044141606,0.029183445,0.097780881,4.524612492,0.085973781,2.042404420
PLBD1,5.20790086,5.06563833,4.42382685,0.34090988,7.56402618,0.02585394,0.80571293,2.50311093,0.12222625,1.98610721,0.26382667,5.84591017,5.49994343,2.03203967,3.87090377,6.23089984,0.07604457,3.31384736,1.95808856,5.61885707,2.53913976
MAGEA4,0.03763195,0.08601586,0.04582625,0.03377664,0.08210089,0.09491900,0.08125488,0.08156312,0.05839435,0.11265448,0.01569331,4.71012358,0.03449169,0.04211919,4.66055557,4.79618174,0.02766358,0.04969306,0.05679921,8.54980112,0.48137249
MMP14,0.5322697,6.8916968,3.7398653,2.1431795,6.1774726,0.3829819,6.1239671,6.5777345,6.2320230,3.8814315,0.4417137,6.5726840,3.6947127,4.9966704,5.6173911,5.6028815,7.3097866,2.9423393,6.9788386,1.2915308,2.4780945
GRHL2,5.05668583,0.04202997,0.66662125,4.74867011,0.07323464,1.95333929,5.09403885,5.26762054,0.08684230,5.52214065,4.95570107,4.78941355,4.48034203,4.53584821,4.69191302,4.92253668,0.01385298,0.07400957,0.14158801,0.02761907,4.62492539
S100A4,1.6191778,3.3334793,3.7090633,0.8287308,4.9802546,1.0839523,6.4482683,3.1455220,5.0290353,1.0786882,5.5401680,2.8031026,6.1404802,0.9187590,1.9466671,7.3257095,5.5253850,4.8550543,8.3530791,4.7084313,7.5772392
SELENBP1,4.4287035,1.1565414,0.3238714,8.3280569,4.5283900,5.9337157,3.6863949,3.7638091,4.1432401,5.8114824,2.8151381,0.1803731,3.7169034,7.8202464,2.5884549,2.6198425,0.8572148,0.0330320,2.6459092,1.0444110,3.9247147
TFPI2,5.0032847,3.5116890,5.0193529,0.6095014,8.8530694,0.2662214,4.6441258,3.0606643,4.3820692,4.6737746,1.0502515,3.2455502,2.4551585,0.4808324,4.1238262,5.2623161,1.5737787,5.0612576,4.9067298,8.8015313,4.5184619
LUM,0.03218199,0.09098303,0.11455847,0.05494744,0.34672672,0.01304848,0.11426323,0.12140727,1.45507363,0.71172862,0.03722667,2.58589618,0.24762387,0.25137405,0.27677006,5.26851530,7.75269312,6.76425447,0.43984661,0.02654882,0.08734445
THBS1,6.1768589,8.4972724,5.9346629,2.3963308,5.0816642,0.2127954,8.8502220,6.6174667,7.3516382,5.6413881,4.8754048,4.1844292,3.8413222,3.4623559,7.8655589,5.8018426,8.5595916,4.8663258,8.4905011,1.9984792,6.0919167
SULF2,4.27776627,3.04785264,0.10494123,0.19114117,2.17177725,0.06351723,5.22317890,0.17608972,6.14751503,5.45761822,1.97871133,1.07058547,6.20610965,0.03753116,3.95368458,4.99490609,0.16193646,5.64589488,0.03884262,3.99904286,3.69802126
ARHGDIB,3.1387645,2.0404478,5.0972746,2.8704329,4.1671227,0.2566900,1.6557778,7.0240086,2.1413125,3.1616473,1.1301642,6.7225804,6.5450268,4.2077381,1.0637401,6.7433191,1.6370511,1.4444927,5.6337886,0.3849759,6.8172944
CDA,1.02556921,0.29917648,5.73214154,0.11552196,0.13643493,0.00000000,4.90239425,0.14761321,0.60179493,0.19453531,0.08177608,4.19933895,5.07255936,0.09617056,0.06976110,5.65966540,0.37945512,0.38773006,5.60824986,4.48274556,2.12298443
AKR1C2,6.0587396,0.4151137,0.4254052,0.0520498,2.2338311,0.2242050,4.3779245,3.7414885,8.1144137,0.5942473,0.1761067,6.3904315,2.6874512,0.1978130,1.6359786,1.1053631,1.0367779,0.6709601,0.8796584,2.0369214,3.3923017
KRT15,2.88289507,0.44421385,0.49919646,4.34256126,0.13650984,0.03548432,2.64194258,2.32078471,1.13999507,0.97082486,5.48501915,3.27188002,8.12493015,6.19666621,4.97024802,1.21381702,0.47745362,0.24186155,1.02628788,0.30069603,3.82855771
EMP1,4.8202702,5.8910349,6.0817303,0.5142160,5.5037099,0.1701046,5.1366711,0.7031455,5.6086472,0.8151943,5.5381018,6.3716033,7.3036592,4.4653944,5.9109667,6.7745331,4.3645464,0.5571495,6.2034039,4.5880324,4.9811698
CCDC80,3.88560990,5.89335440,4.94718906,0.10153601,3.86529028,0.03910369,1.84736756,0.51267697,2.03725679,0.08561991,0.12571107,4.43048982,3.30147163,0.42665074,2.28928278,4.92194769,9.03001154,3.50563495,4.44783743,2.69824228,3.23224085
